Time	Node	DY	VY	AY 
5.000000E-01	12	-9.787453E-03	7.182368E-01	-7.299185E+02 
6.000000E-01	12	8.519954E-04	-5.054478E-01	7.054448E+02 
7.000000E-01	12	-6.303292E-03	3.623421E-01	-6.880890E+02 
8.000000E-01	12	6.482241E-05	-2.349798E-01	6.761425E+02 
9.000000E-01	12	-5.011394E-03	1.334554E-01	-6.687738E+02 
1.000000E+00	12	-2.403841E-03	-8.130438E-02	6.644786E+02 
1.100000E+00	12	-3.065337E-03	6.807446E-02	-6.614911E+02 
1.200000E+00	12	-2.629786E-03	-5.936344E-02	6.589423E+02 
1.300000E+00	12	-3.740282E-03	3.715351E-02	-6.570120E+02 
1.400000E+00	12	-2.546653E-03	-1.328092E-02	6.560033E+02 
Time	Node	DY	VY	AY 
5.000000E-01	12	-5.683819E-02	-2.227779E-01	-7.487388E+02 
6.000000E-01	12	-1.036189E-01	-7.128366E-01	7.389376E+02 
7.000000E-01	12	-8.291385E-02	1.126938E+00	-7.021421E+02 
8.000000E-01	12	-4.301557E-02	-3.289721E-01	6.730239E+02 
9.000000E-01	12	-8.096325E-02	-4.299815E-01	-6.750441E+02 
1.000000E+00	12	-9.623068E-02	1.246329E-01	6.861364E+02 
1.100000E+00	12	-6.063850E-02	5.872105E-01	-6.768848E+02 
1.200000E+00	12	-6.050396E-02	-5.845197E-01	6.534502E+02 
1.300000E+00	12	-9.155097E-02	-3.642054E-02	-6.424882E+02 
1.400000E+00	12	-7.761946E-02	3.150508E-01	6.495177E+02 
Time	Node	DY	VY	AY 
4.100000E-01	12	-6.146062E-02	5.116758E+00	1.136879E+02 
4.200000E-01	12	-3.351107E-02	4.731514E-01	-1.042409E+03 
4.300000E-01	12	-3.621573E-02	-1.014083E+00	7.449623E+02 
4.400000E-01	12	-4.656027E-02	-1.054825E+00	-7.531108E+02 
4.500000E-01	12	-5.643398E-02	-9.199159E-01	7.800927E+02 
4.600000E-01	12	-6.644538E-02	-1.082364E+00	-8.125823E+02 
4.700000E-01	12	-7.864525E-02	-1.357609E+00	7.575332E+02 
4.800000E-01	12	-9.326736E-02	-1.566814E+00	-7.993741E+02 
4.900000E-01	12	-1.072493E-01	-1.229579E+00	8.668211E+02 
5.000000E-01	12	-1.170602E-01	-7.325953E-01	-7.674244E+02 
5.100000E-01	12	-1.217895E-01	-2.132545E-01	8.712925E+02 
5.200000E-01	12	-1.225499E-01	6.115746E-02	-8.164101E+02 
5.300000E-01	12	-1.215206E-01	1.447070E-01	8.331200E+02 
5.400000E-01	12	-1.192824E-01	3.029455E-01	-8.014723E+02 
5.500000E-01	12	-1.150829E-01	5.369537E-01	8.482740E+02 
5.600000E-01	12	-1.078535E-01	9.089230E-01	-7.738801E+02 
5.700000E-01	12	-9.782718E-02	1.096335E+00	8.113626E+02 
5.800000E-01	12	-8.646648E-02	1.175806E+00	-7.954685E+02 
5.900000E-01	12	-7.534395E-02	1.048700E+00	7.700473E+02 
6.000000E-01	12	-6.564825E-02	8.904390E-01	-8.016995E+02 
6.100000E-01	12	-5.706279E-02	8.266528E-01	7.889423E+02 
6.200000E-01	12	-4.959184E-02	6.675373E-01	-8.207654E+02 
6.300000E-01	12	-4.333211E-02	5.844089E-01	8.041397E+02 
6.400000E-01	12	-3.889537E-02	3.029389E-01	-8.604337E+02 
6.500000E-01	12	-3.715184E-02	4.576802E-02	8.089995E+02 
6.600000E-01	12	-3.802263E-02	-2.199257E-01	-8.621382E+02 
6.700000E-01	12	-4.122878E-02	-4.213060E-01	8.218622E+02 
6.800000E-01	12	-4.599083E-02	-5.311033E-01	-8.438216E+02 
6.900000E-01	12	-5.195673E-02	-6.620769E-01	8.176269E+02 
7.000000E-01	12	-5.877929E-02	-7.024348E-01	-8.256985E+02 
7.100000E-01	12	-6.640112E-02	-8.219312E-01	8.017992E+02 
7.200000E-01	12	-7.435602E-02	-7.690480E-01	-7.912226E+02 
7.300000E-01	12	-8.193182E-02	-7.461137E-01	7.958094E+02 
7.400000E-01	12	-8.873952E-02	-6.154249E-01	-7.696716E+02 
7.500000E-01	12	-9.404287E-02	-4.452444E-01	8.037077E+02 
7.600000E-01	12	-9.797277E-02	-3.407362E-01	-7.828061E+02 
7.700000E-01	12	-1.003460E-01	-1.339166E-01	8.241700E+02 
7.800000E-01	12	-1.011334E-01	-2.355374E-02	-8.020974E+02 
7.900000E-01	12	-1.003914E-01	1.719429E-01	8.411968E+02 
8.000000E-01	12	-9.801150E-02	3.040448E-01	-8.147764E+02 
8.100000E-01	12	-9.428464E-02	4.413269E-01	8.422328E+02 
8.200000E-01	12	-8.945643E-02	5.243162E-01	-8.256349E+02 
8.300000E-01	12	-8.405439E-02	5.560913E-01	8.319899E+02 
8.400000E-01	12	-7.827665E-02	5.994567E-01	-8.233169E+02 
8.500000E-01	12	-7.263655E-02	5.285631E-01	8.091381E+02 
8.600000E-01	12	-6.728524E-02	5.416977E-01	-8.065112E+02 
8.700000E-01	12	-6.249790E-02	4.157719E-01	7.813261E+02 
8.800000E-01	12	-5.873300E-02	3.372069E-01	-7.970391E+02 
8.900000E-01	12	-5.593204E-02	2.229857E-01	7.741948E+02 
9.000000E-01	12	-5.449068E-02	6.528593E-02	-8.057348E+02 
9.100000E-01	12	-5.424836E-02	-1.682243E-02	7.893131E+02 
9.200000E-01	12	-5.517960E-02	-1.694260E-01	-8.198338E+02 
9.300000E-01	12	-5.720309E-02	-2.352719E-01	8.066646E+02 
9.400000E-01	12	-6.011133E-02	-3.463760E-01	-8.288855E+02 
9.500000E-01	12	-6.374182E-02	-3.797203E-01	8.222166E+02 
9.600000E-01	12	-6.781423E-02	-4.347627E-01	-8.332251E+02 
9.700000E-01	12	-7.214774E-02	-4.319399E-01	8.337896E+02 
9.800000E-01	12	-7.628823E-02	-3.961572E-01	-8.266331E+02 
9.900000E-01	12	-8.020624E-02	-3.874457E-01	8.283754E+02 
1.000000E+00	12	-8.352165E-02	-2.756357E-01	-8.060134E+02 
1.010000E+00	12	-8.610675E-02	-2.413842E-01	8.128637E+02 
1.020000E+00	12	-8.797172E-02	-1.316093E-01	-7.909087E+02 
1.030000E+00	12	-8.880293E-02	-3.463372E-02	8.103038E+02 
1.040000E+00	12	-8.882648E-02	2.992512E-02	-7.973920E+02 
1.050000E+00	12	-8.792163E-02	1.510447E-01	8.216159E+02 
1.060000E+00	12	-8.624229E-02	1.848217E-01	-8.148605E+02 
1.070000E+00	12	-8.393676E-02	2.762851E-01	8.331532E+02 
1.080000E+00	12	-8.116032E-02	2.790028E-01	-8.326097E+02 
1.090000E+00	12	-7.809516E-02	3.340293E-01	8.436150E+02 
1.100000E+00	12	-7.491494E-02	3.020138E-01	-8.500181E+02 
1.110000E+00	12	-7.190921E-02	2.991330E-01	8.494419E+02 
1.120000E+00	12	-6.904991E-02	2.727273E-01	-8.547231E+02 
1.130000E+00	12	-6.676639E-02	1.839774E-01	8.369731E+02 
1.140000E+00	12	-6.493699E-02	1.819011E-01	-8.373884E+02 
1.150000E+00	12	-6.375458E-02	5.458137E-02	8.119244E+02 
1.160000E+00	12	-6.330913E-02	3.450840E-02	-8.159390E+02 
1.170000E+00	12	-6.342832E-02	-5.834668E-02	7.973680E+02 
1.180000E+00	12	-6.426571E-02	-1.091300E-01	-8.075247E+02 
1.190000E+00	12	-6.560650E-02	-1.590292E-01	7.975448E+02 
1.200000E+00	12	-6.741370E-02	-2.024099E-01	-8.062210E+02 
1.210000E+00	12	-6.951926E-02	-2.187025E-01	8.029624E+02 
1.220000E+00	12	-7.184306E-02	-2.460577E-01	-8.084335E+02 
1.230000E+00	12	-7.414790E-02	-2.149096E-01	8.146631E+02 
1.240000E+00	12	-7.636740E-02	-2.289910E-01	-8.174794E+02 
1.250000E+00	12	-7.839340E-02	-1.762076E-01	8.280361E+02 
1.260000E+00	12	-7.997439E-02	-1.399922E-01	-8.207930E+02 
1.270000E+00	12	-8.125970E-02	-1.170694E-01	8.253775E+02 
1.280000E+00	12	-8.197476E-02	-2.594144E-02	-8.071519E+02 
1.290000E+00	12	-8.220907E-02	-2.092051E-02	8.081561E+02 
1.300000E+00	12	-8.200661E-02	6.141131E-02	-7.916897E+02 
1.310000E+00	12	-8.126409E-02	8.709288E-02	7.968261E+02 
1.320000E+00	12	-8.020495E-02	1.247347E-01	-7.892977E+02 
1.330000E+00	12	-7.879888E-02	1.564798E-01	7.956467E+02 
1.340000E+00	12	-7.720014E-02	1.632693E-01	-7.942888E+02 
1.350000E+00	12	-7.546686E-02	1.833857E-01	7.983121E+02 
1.360000E+00	12	-7.379117E-02	1.517526E-01	-8.046387E+02 
1.370000E+00	12	-7.215094E-02	1.762932E-01	8.095468E+02 
1.380000E+00	12	-7.074044E-02	1.058073E-01	-8.236440E+02 
1.390000E+00	12	-6.963194E-02	1.158923E-01	8.256609E+02 
1.400000E+00	12	-6.874319E-02	6.185700E-02	-8.364680E+02 
Time	Node	DY	VY	AY 
4.100000E-01	12	-6.146062E-02	5.116758E+00	1.136879E+02 
4.200000E-01	12	-3.351107E-02	4.731514E-01	-1.042409E+03 
4.300000E-01	12	-3.621573E-02	-1.014083E+00	7.449623E+02 
4.400000E-01	12	-4.656027E-02	-1.054825E+00	-7.531108E+02 
4.500000E-01	12	-5.643398E-02	-9.199159E-01	7.800927E+02 
4.600000E-01	12	-6.644538E-02	-1.082364E+00	-8.125823E+02 
4.700000E-01	12	-7.864525E-02	-1.357609E+00	7.575332E+02 
4.800000E-01	12	-9.326736E-02	-1.566814E+00	-7.993741E+02 
4.900000E-01	12	-1.072493E-01	-1.229579E+00	8.668211E+02 
5.000000E-01	12	-1.170602E-01	-7.325953E-01	-7.674244E+02 
5.100000E-01	12	-1.217895E-01	-2.132545E-01	8.712925E+02 
5.200000E-01	12	-1.225499E-01	6.115746E-02	-8.164101E+02 
5.300000E-01	12	-1.215206E-01	1.447070E-01	8.331200E+02 
5.400000E-01	12	-1.192824E-01	3.029455E-01	-8.014723E+02 
5.500000E-01	12	-1.150829E-01	5.369537E-01	8.482740E+02 
5.600000E-01	12	-1.078535E-01	9.089230E-01	-7.738801E+02 
5.700000E-01	12	-9.782718E-02	1.096335E+00	8.113626E+02 
5.800000E-01	12	-8.646648E-02	1.175806E+00	-7.954685E+02 
5.900000E-01	12	-7.534395E-02	1.048700E+00	7.700473E+02 
6.000000E-01	12	-6.564825E-02	8.904390E-01	-8.016995E+02 
6.100000E-01	12	-5.706279E-02	8.266528E-01	7.889423E+02 
6.200000E-01	12	-4.959184E-02	6.675373E-01	-8.207654E+02 
6.300000E-01	12	-4.333211E-02	5.844089E-01	8.041397E+02 
6.400000E-01	12	-3.889537E-02	3.029389E-01	-8.604337E+02 
6.500000E-01	12	-3.715184E-02	4.576802E-02	8.089995E+02 
6.600000E-01	12	-3.802263E-02	-2.199257E-01	-8.621382E+02 
6.700000E-01	12	-4.122878E-02	-4.213060E-01	8.218622E+02 
6.800000E-01	12	-4.599083E-02	-5.311033E-01	-8.438216E+02 
6.900000E-01	12	-5.195673E-02	-6.620769E-01	8.176269E+02 
7.000000E-01	12	-5.877929E-02	-7.024348E-01	-8.256985E+02 
7.100000E-01	12	-6.640112E-02	-8.219312E-01	8.017992E+02 
7.200000E-01	12	-7.435602E-02	-7.690480E-01	-7.912226E+02 
7.300000E-01	12	-8.193182E-02	-7.461137E-01	7.958094E+02 
7.400000E-01	12	-8.873952E-02	-6.154249E-01	-7.696716E+02 
7.500000E-01	12	-9.404287E-02	-4.452444E-01	8.037077E+02 
7.600000E-01	12	-9.797277E-02	-3.407362E-01	-7.828061E+02 
7.700000E-01	12	-1.003460E-01	-1.339166E-01	8.241700E+02 
7.800000E-01	12	-1.011334E-01	-2.355374E-02	-8.020974E+02 
7.900000E-01	12	-1.003914E-01	1.719429E-01	8.411968E+02 
8.000000E-01	12	-9.801150E-02	3.040448E-01	-8.147764E+02 
8.100000E-01	12	-9.428464E-02	4.413269E-01	8.422328E+02 
8.200000E-01	12	-8.945643E-02	5.243162E-01	-8.256349E+02 
8.300000E-01	12	-8.405439E-02	5.560913E-01	8.319899E+02 
8.400000E-01	12	-7.827665E-02	5.994567E-01	-8.233169E+02 
8.500000E-01	12	-7.263655E-02	5.285631E-01	8.091381E+02 
8.600000E-01	12	-6.728524E-02	5.416977E-01	-8.065112E+02 
8.700000E-01	12	-6.249790E-02	4.157719E-01	7.813261E+02 
8.800000E-01	12	-5.873300E-02	3.372069E-01	-7.970391E+02 
8.900000E-01	12	-5.593204E-02	2.229857E-01	7.741948E+02 
9.000000E-01	12	-5.449068E-02	6.528593E-02	-8.057348E+02 
9.100000E-01	12	-5.424836E-02	-1.682243E-02	7.893131E+02 
9.200000E-01	12	-5.517960E-02	-1.694260E-01	-8.198338E+02 
9.300000E-01	12	-5.720309E-02	-2.352719E-01	8.066646E+02 
9.400000E-01	12	-6.011133E-02	-3.463760E-01	-8.288855E+02 
9.500000E-01	12	-6.374182E-02	-3.797203E-01	8.222166E+02 
9.600000E-01	12	-6.781423E-02	-4.347627E-01	-8.332251E+02 
9.700000E-01	12	-7.214774E-02	-4.319399E-01	8.337896E+02 
9.800000E-01	12	-7.628823E-02	-3.961572E-01	-8.266331E+02 
9.900000E-01	12	-8.020624E-02	-3.874457E-01	8.283754E+02 
1.000000E+00	12	-8.352165E-02	-2.756357E-01	-8.060134E+02 
1.010000E+00	12	-8.610675E-02	-2.413842E-01	8.128637E+02 
1.020000E+00	12	-8.797172E-02	-1.316093E-01	-7.909087E+02 
1.030000E+00	12	-8.880293E-02	-3.463372E-02	8.103038E+02 
1.040000E+00	12	-8.882648E-02	2.992512E-02	-7.973920E+02 
1.050000E+00	12	-8.792163E-02	1.510447E-01	8.216159E+02 
1.060000E+00	12	-8.624229E-02	1.848217E-01	-8.148605E+02 
1.070000E+00	12	-8.393676E-02	2.762851E-01	8.331532E+02 
1.080000E+00	12	-8.116032E-02	2.790028E-01	-8.326097E+02 
1.090000E+00	12	-7.809516E-02	3.340293E-01	8.436150E+02 
1.100000E+00	12	-7.491494E-02	3.020138E-01	-8.500181E+02 
1.110000E+00	12	-7.190921E-02	2.991330E-01	8.494419E+02 
1.120000E+00	12	-6.904991E-02	2.727273E-01	-8.547231E+02 
1.130000E+00	12	-6.676639E-02	1.839774E-01	8.369731E+02 
