axle_loc,axle_id
-0,13
-120,13
-516,14
-684,14
-1692,3
-2052,3
-2220,5
-2760,14
-2928,14
-3672,12
-3768,12
-4164,1
-4332,1
-4500,2
-5316,4
-5580,4
-5748,6
-6240,10
-6300,10
-6480,11
-7344,14
-7512,14
-8412,14
-8580,14
-9540,3
-9900,3
-10068,5
-10740,14
-10908,14
-11232,14
-11400,14
-11856,7
-11928,7
-12204,8
-12276,8
-12468,9
-13584,13
-13704,13
-14088,3
-14448,3
-14616,5
-15648,7
-15720,7
-15996,8
-16068,8
-16260,9
-17016,14
-17184,14
-18384,13
-18504,13
-18816,14
-18984,14
-19644,12
-19740,12
-20088,1
-20256,1
-20424,2
-21588,13
-21708,13
-21948,14
-22116,14
-23100,12
-23196,12
-24216,13
-24336,13
-25404,12
-25500,12
-25824,7
-25896,7
-26172,8
-26244,8
-26436,9
-27060,12
-27156,12
-27648,3
-28008,3
-28176,5
-29184,12
-29280,12
-29940,1
-30108,1
-30276,2
-31392,4
-31656,4
-31824,6
-32244,1
-32412,1
-32580,2
-33072,1
-33240,1
-33408,2
-33792,13
-33912,13
-34284,12
-34380,12
-35460,4
-35724,4
-35892,6
-36684,14
-36852,14
-37620,1
-37788,1
-37956,2
-38340,7
-38412,7
-38688,8
-38760,8
-38952,9
-40008,7
-40080,7
-40356,8
-40428,8
-40620,9
-41460,13
-41580,13
-42156,13
-42276,13
-43008,3
-43368,3
-43536,5
-44160,7
-44232,7
-44508,8
-44580,8
-44772,9
-45084,7
-45156,7
-45432,8
-45504,8
-45696,9
-46164,12
-46260,12
-46620,12
-46716,12
-47136,13
-47256,13
-47724,4
-47988,4
-48156,6
-48792,12
-48888,12
-49176,12
-49272,12
-50376,3
-50736,3
-50904,5
-52056,1
-52224,1
-52392,2
-53100,7
-53172,7
-53448,8
-53520,8
-53712,9
-54420,14
-54588,14
-55152,4
-55416,4
-55584,6
-56688,10
-56748,10
-56928,11
-57528,3
-57888,3
-58056,5
-58404,13
-58524,13
-59508,4
-59772,4
-59940,6
-60552,10
-60612,10
-60792,11
-61260,12
-61356,12
-61980,14
-62148,14
-62484,14
-62652,14
-63024,10
-63084,10
-63264,11
-64404,3
-64764,3
-64932,5
-66084,3
-66444,3
-66612,5
-67404,4
-67668,4
-67836,6
-68136,13
-68256,13
-68724,4
-68988,4
-69156,6
-69732,13
-69852,13
-70884,3
-71244,3
-71412,5
-71664,14
-71832,14
-72108,4
-72372,4
-72540,6
-72948,3
-73308,3
-73476,5
-74340,4
-74604,4
-74772,6
-75720,10
-75780,10
-75960,11
-76824,7
-76896,7
-77172,8
-77244,8
-77436,9
-78108,4
-78372,4
-78540,6
-79308,13
-79428,13
-79956,10
-80016,10
-80196,11
-81156,10
-81216,10
-81396,11
-81816,14
-81984,14
-82884,4
-83148,4
-83316,6
-83736,13
-83856,13
-84444,13
-84564,13
-85404,7
-85476,7
-85752,8
-85824,8
-86016,9
-87000,10
-87060,10
-87240,11
-87552,1
-87720,1
-87888,2
-89016,1
-89184,1
-89352,2
-90336,10
-90396,10
-90576,11
-91284,13
-91404,13
-92064,14
-92232,14
-92904,3
-93264,3
-93432,5
-93972,10
-94032,10
-94212,11
-94944,7
-95016,7
-95292,8
-95364,8
-95556,9
-96288,1
-96456,1
-96624,2
-97644,4
-97908,4
-98076,6
-0,13
-120,13
-816,12
-912,12
-1212,7
-1284,7
-1560,8
-1632,8
-1824,9
-2724,13
-2844,13
-3120,10
-3180,10
-3360,11
-3672,4
-3936,4
-4104,6
-4848,14
-5016,14
-5352,14
-5520,14
-6540,10
-6600,10
-6780,11
-7800,10
-7860,10
-8040,11
-8976,10
-9036,10
-9216,11
-9600,3
-9960,3
-10128,5
-11004,4
-11268,4
-11436,6
-12168,7
-12240,7
-12516,8
-12588,8
-12780,9
-13956,3
-14316,3
-14484,5
-15348,13
-15468,13
-16476,3
-16836,3
-17004,5
-17676,3
-18036,3
-18204,5
-18864,3
-19224,3
-19392,5
-20424,3
-20784,3
-20952,5
-21276,7
-21348,7
-21624,8
-21696,8
-21888,9
-22260,4
-22524,4
-22692,6
-23100,14
-23268,14
-23880,7
-23952,7
-24228,8
-24300,8
-24492,9
-25536,3
-25896,3
-26064,5
-27072,14
-27240,14
-27540,14
-27708,14
-28332,7
-28404,7
-28680,8
-28752,8
-28944,9
-29688,1
-29856,1
-30024,2
-30660,4
-30924,4
-31092,6
-31968,7
-32040,7
-32316,8
-32388,8
