Var1,Var2
0,5
-168,4
-336,4
-2028,9
-2196,8
-2460,8
-4260,17
-4428,17
-5568,15
-5664,15
-6828,5
-6996,4
-7164,4
-8772,16
-8892,16
-10860,15
-10956,15
-11760,9
-11928,8
-12192,8
-14148,7
-14316,6
-14676,6
-16632,5
-16800,4
-16968,4
-18336,7
-18504,6
-18864,6
-19824,17
-19992,17
-21540,5
-21708,4
-21876,4
-23760,9
-23928,8
-24192,8
-25716,12
-25908,11
-25980,11
-26256,10
-26328,10
-27276,14
-27456,13
-27516,13
-28356,15
-28452,15
-30072,14
-30252,13
-30312,13
-32340,15
-32436,15
-34416,7
-34584,6
-34944,6
-37224,16
-37344,16
-38256,15
-38352,15
-39456,17
-39624,17
-41688,14
-41868,13
-41928,13
-44004,9
-44172,8
-44436,8
-46416,15
-46512,15
-47664,15
-47760,15
-48684,15
-48780,15
-50520,15
-50616,15
-51444,15
-51540,15
-52248,17
-52416,17
-53988,15
-54084,15
-55884,16
-56004,16
-56856,15
-56952,15
-59124,12
-59316,11
-59388,11
-59664,10
-59736,10
-60216,14
-60396,13
-60456,13
