axle_loc,axle_id
-960,13
-1020,13
-1200,14
-4344,7
-4608,7
-4776,9
-8316,16
-8436,16
-11856,10
-11928,10
-12204,11
-12276,11
-12468,12
-13296,6
-13656,6
-13824,8
-16668,17
-16836,17
-19356,17
-19524,17
-21456,7
-21720,7
-21888,9
-25284,17
-25452,17
-27732,10
-27804,10
-28080,11
-28152,11
-28344,12
-31740,6
-32100,6
-32268,8
-34260,7
-34524,7
-34692,9
-37452,10
-37524,10
-37800,11
-37872,11
-38064,12
-40272,10
-40344,10
-40620,11
-40692,11
-40884,12
-42072,17
-42240,17
-43200,7
-43464,7
-43632,9
-46440,17
-46608,17
-49680,10
-49752,10
-50028,11
-50100,11
-50292,12
-52836,17
-53004,17
-56160,16
-56280,16
-59052,10
-59124,10
-59400,11
-59472,11
-59664,12
-62796,16
-62916,16
-66372,15
-66468,15
-68532,6
-68892,6
-69060,8
-70596,4
-70764,4
-70932,5
-73596,10
-73668,10
-73944,11
-74016,11
-74208,12
-75840,15
-75936,15
-77796,7
-78060,7
-78228,9
-79416,15
-79512,15
-82260,10
-82332,10
-82608,11
-82680,11
-82872,12
-86340,17
-86508,17
-88728,4
-88896,4
-89064,5
-91404,4
-91572,4
-91740,5
-93648,17
-93816,17
-97404,6
-97764,6
-97932,8
