axle_loc,axle_id
-0,12
-96,12
-480,7
-552,7
-828,8
-900,8
-1092,9
-1512,12
-1608,12
-1884,12
-1980,12
-2832,7
-2904,7
-3180,8
-3252,8
-3444,9
-3960,1
-4128,1
-4296,2
-5052,4
-5316,4
-5484,6
-6396,7
-6468,7
-6744,8
-6816,8
-7008,9
-7728,4
-7992,4
-8160,6
-8916,3
-9276,3
-9444,5
-10116,13
-10236,13
-10596,7
-10668,7
-10944,8
-11016,8
-11208,9
-11916,14
-12084,14
-13140,7
-13212,7
-13488,8
-13560,8
-13752,9
-14832,13
-14952,13
-15456,7
-15528,7
-15804,8
-15876,8
-16068,9
-16512,13
-16632,13
-17412,13
-17532,13
-18384,7
-18456,7
-18732,8
-18804,8
-18996,9
-19632,3
-19992,3
-20160,5
-20592,13
-20712,13
-21864,14
-22032,14
-22356,4
-22620,4
-22788,6
-23124,12
-23220,12
-23592,7
-23664,7
-23940,8
-24012,8
-24204,9
-24600,13
-24720,13
-25560,13
-25680,13
-26472,3
-26832,3
-27000,5
-27288,13
-27408,13
-28536,14
-28704,14
-29640,10
-29700,10
-29880,11
-30828,14
-30996,14
-31296,10
-31356,10
-31536,11
-32604,3
-32964,3
-33132,5
-34272,3
-34632,3
-34800,5
-35988,7
-36060,7
-36336,8
-36408,8
-36600,9
-37668,12
-37764,12
-38760,13
-38880,13
-39612,13
-39732,13
-40140,4
-40404,4
-40572,6
-41196,10
-41256,10
-41436,11
-41808,1
-41976,1
-42144,2
-42408,1
-42576,1
-42744,2
-43884,3
-44244,3
-44412,5
-44940,12
-45036,12
-45564,7
-45636,7
-45912,8
-45984,8
-46176,9
-46740,3
-47100,3
-47268,5
-47952,7
-48024,7
-48300,8
-48372,8
-48564,9
-49428,3
-49788,3
-49956,5
-50220,1
-50388,1
-50556,2
-51600,13
-51720,13
-52500,10
-52560,10
-52740,11
-53796,14
-53964,14
-54540,12
-54636,12
-55308,10
-55368,10
-55548,11
-55836,13
-55956,13
-56364,14
-56532,14
-57408,14
-57576,14
-58128,1
-58296,1
-58464,2
-59568,13
-59688,13
-60036,10
-60096,10
-60276,11
-61464,14
-61632,14
-62388,10
-62448,10
-62628,11
-63552,7
-63624,7
-63900,8
-63972,8
-64164,9
-65364,13
-65484,13
-66000,3
-66360,3
-66528,5
-67164,7
-67236,7
-67512,8
-67584,8
-67776,9
-68460,14
-68628,14
-69600,10
-69660,10
-69840,11
-70860,13
-70980,13
-71316,12
-71412,12
-71820,10
-71880,10
-72060,11
-72648,3
-73008,3
-73176,5
-73476,12
-73572,12
-74316,1
-74484,1
-74652,2
-75216,12
-75312,12
-75720,12
-75816,12
-76260,12
-76356,12
-77460,14
-77628,14
-78516,14
-78684,14
-79368,13
-79488,13
-80604,10
-80664,10
-80844,11
-81180,14
-81348,14
-82308,10
-82368,10
-82548,11
-83496,1
-83664,1
-83832,2
-84612,1
-84780,1
-84948,2
-85368,13
-85488,13
-86304,7
-86376,7
-86652,8
-86724,8
-86916,9
-87444,13
-87564,13
-87936,3
-88296,3
-88464,5
-88908,10
-88968,10
-89148,11
-90252,12
-90348,12
-90660,1
-90828,1
-90996,2
-91464,10
-91524,10
-91704,11
-91992,4
-92256,4
-92424,6
-93084,1
-93252,1
-93420,2
-93672,7
-93744,7
-94020,8
-94092,8
-94284,9
-95388,3
-95748,3
-95916,5
-96348,1
-96516,1
-96684,2
-97008,3
-97368,3
-97536,5
-0,4
-264,4
-432,6
-1296,7
-1368,7
-1644,8
-1716,8
-1908,9
-2256,1
-2424,1
-2592,2
-3732,14
-3900,14
-4320,4
-4584,4
-4752,6
-5244,4
-5508,4
-5676,6
-6684,1
-6852,1
-7020,2
-7728,4
-7992,4
-8160,6
-9144,1
-9312,1
-9480,2
-10104,10
-10164,10
-10344,11
-10848,13
-10968,13
-11244,12
-11340,12
-12228,1
-12396,1
-12564,2
-13212,1
-13380,1
