axle_loc,axle_id
-70164,3
-69804,3
-69636,5
-69744,14
-69576,14
-69456,7
-69384,7
-69108,8
-69036,8
-68844,9
-68364,14
-68196,14
-67320,12
-67224,12
-66972,10
-66912,10
-66732,11
-66336,10
-66276,10
-66096,11
-65976,12
-65880,12
-65184,1
-65016,1
-64848,2
-64032,13
-63912,13
-63540,14
-63372,14
-62352,1
-62184,1
-62016,2
-61776,13
-61656,13
-61332,13
-61212,13
-60456,14
-60288,14
-59280,3
-58920,3
-58752,5
-58440,14
-58272,14
-58140,12
-58044,12
-57540,1
-57372,1
-57204,2
-57144,4
-56880,4
-56712,6
-56676,13
-56556,13
-56388,13
-56268,13
-55284,1
-55116,1
-54948,2
-54288,7
-54216,7
-53940,8
-53868,8
-53676,9
-53688,3
-53328,3
-53160,5
-52644,14
-52476,14
-51684,4
-51420,4
-51252,6
-50844,13
-50724,13
-50220,4
-49956,4
-49788,6
-49632,14
-49464,14
-49308,3
-48948,3
-48780,5
-48744,13
-48624,13
-47976,1
-47808,1
-47640,2
-47292,12
-47196,12
-46428,10
-46368,10
-46188,11
-45696,7
-45624,7
-45348,8
-45276,8
-45084,9
-44676,3
-44316,3
-44148,5
-44340,13
-44220,13
-43656,3
-43296,3
-43128,5
-42852,7
-42780,7
-42504,8
-42432,8
-42240,9
-42432,1
-42264,1
-42096,2
-41604,3
-41244,3
-41076,5
-41316,7
-41244,7
-40968,8
-40896,8
-40704,9
-40524,13
-40404,13
-39480,3
-39120,3
-38952,5
-38760,12
-38664,12
-38100,12
-38004,12
-37716,1
-37548,1
-37380,2
-37452,7
-37380,7
-37104,8
-37032,8
-36840,9
-36480,14
-36312,14
-35472,1
-35304,1
-35136,2
-34956,12
-34860,12
-34608,12
-34512,12
-34008,10
-33948,10
-33768,11
-32976,7
-32904,7
-32628,8
-32556,8
-32364,9
-31932,10
-31872,10
-31692,11
-31056,7
-30984,7
-30708,8
-30636,8
-30444,9
-29892,1
-29724,1
-29556,2
-28752,4
-28488,4
-28320,6
-28404,10
-28344,10
-28164,11
-27540,12
-27444,12
-26844,14
-26676,14
-26544,14
-26376,14
-25440,1
-25272,1
-25104,2
-24720,12
-24624,12
-23736,10
-23676,10
-23496,11
-23436,7
-23364,7
-23088,8
-23016,8
-22824,9
-22944,4
-22680,4
-22512,6
-22080,7
-22008,7
-21732,8
-21660,8
-21468,9
-21708,12
-21612,12
-20856,14
-20688,14
-20244,1
-20076,1
-19908,2
-19272,13
-19152,13
-18408,10
-18348,10
-18168,11
-17796,14
-17628,14
-17268,1
-17100,1
-16932,2
-16704,4
-16440,4
-16272,6
-15576,1
-15408,1
-15240,2
-14892,10
-14832,10
-14652,11
-14232,13
-14112,13
-13560,4
-13296,4
-13128,6
-12408,3
-12048,3
-11880,5
-11952,4
-11688,4
-11520,6
-10860,7
-10788,7
-10512,8
-10440,8
-10248,9
-10596,12
-10500,12
-10032,10
-9972,10
-9792,11
-9060,7
-8988,7
-8712,8
-8640,8
-8448,9
-8496,14
-8328,14
-7656,14
-7488,14
-6984,12
-6888,12
-6732,3
-6372,3
-6204,5
-5916,10
-5856,10
-5676,11
-5100,7
-5028,7
-4752,8
-4680,8
-4488,9
-4236,14
-4068,14
-3672,4
-3408,4
-3240,6
-2964,12
-2868,12
-2052,10
-1992,10
-1812,11
-960,3
-600,3
-432,5
-672,12
-576,12
-336,1
-168,1
0,2
