axle_loc,axle_id
0,4
22,4
36,6
49,13
59,13
82,7
88,7
111,8
117,8
133,9
94,7
100,7
123,8
129,8
145,9
114,12
122,12
120,14
134,14
133,4
155,4
169,6
146,13
156,13
163,12
171,12
171,14
185,14
188,1
202,1
216,2
194,4
216,4
230,6
238,12
246,12
243,4
265,4
279,6
290,3
320,3
334,5
310,12
318,12
312,10
317,10
332,11
329,10
334,10
349,11
366,12
374,12
406,1
420,1
434,2
433,4
455,4
469,6
467,7
473,7
496,8
502,8
518,9
512,3
542,3
556,5
515,12
523,12
530,13
540,13
532,4
554,4
568,6
542,12
550,12
578,3
608,3
622,5
614,13
624,13
658,3
688,3
702,5
687,10
692,10
707,11
691,4
713,4
727,6
737,13
747,13
777,10
782,10
797,11
791,7
797,7
820,8
826,8
842,9
818,14
832,14
867,4
889,4
903,6
903,7
909,7
932,8
938,8
954,9
945,14
959,14
967,1
981,1
995,2
991,14
1005,14
1019,3
1049,3
1063,5
1032,12
1040,12
1069,10
1074,10
1089,11
1094,12
1102,12
1126,4
1148,4
1162,6
1141,10
1146,10
1161,11
1148,13
1158,13
1172,1
1186,1
1200,2
1190,1
1204,1
1218,2
